,brand_name,product_type,negative_count,positive_count,total_reviews,positive_ratio,negative_ratio,rating
0,Yogi Tea,food,3972,38004,41976,0.9053744997141223,0.09462550028587764,4.57
1,Mommy's Bliss,gel,100,1024,1124,0.9110320284697508,0.08896797153024912,4.7
2,Mommy's Bliss,liquid,1066,9386,10452,0.8980099502487562,0.10199004975124377,4.68
3,Mommy's Bliss,tablet,376,5134,5510,0.9317604355716879,0.06823956442831217,4.8
4,Solaray,capsule,1454,10209,11663,0.8753322472777159,0.12466775272228414,4.66
5,Traditional Medicinals,food,650,5753,6403,0.8984850851163517,0.10151491488364829,4.67
6,Source Naturals,tablet,699,3814,4513,0.8451141147795258,0.1548858852204742,4.6
7,NOW Foods,capsule,560,2888,3448,0.8375870069605569,0.16241299303944315,4.55
8,NOW Foods,tablet,58,110,168,0.6547619047619048,0.34523809523809523,3.9
9,NOW Foods,food,10,58,68,0.8529411764705882,0.14705882352941177,4.5
10,Natural Factors,capsule,715,2993,3708,0.8071736785329018,0.19282632146709816,4.4
11,Natural Factors,tablet,1,5,6,0.8333333333333334,0.16666666666666666,4.6
12,VitaFusion,gummy,448,3052,3500,0.872,0.128,4.62
13,Nature's Answer,liquid,247,1913,2160,0.8856481481481482,0.11435185185185186,4.7
14,Nature's Answer,capsule,101,1035,1136,0.9110915492957746,0.08890845070422536,4.7
15,Nature's Way,liquid,4,70,74,0.9459459459459459,0.05405405405405406,4.75
16,Nature's Way,gummy,247,2148,2395,0.8968684759916493,0.10313152400835073,4.67
17,Nature's Way,food,33,602,635,0.9480314960629921,0.05196850393700787,4.8
